Category,Project Names,Snapshots,Type,TDR
Cryptography,pqm4,0,code errors,0.0
Cryptography,pqm4,0,code smells,0.0
Cryptography,pqm4,90,code errors,0.0
Cryptography,pqm4,90,code smells,18.423913043478258
Cryptography,pqm4,180,code errors,0.0
Cryptography,pqm4,180,code smells,9.237057220708447
Cryptography,pqm4,270,code errors,0.0
Cryptography,pqm4,270,code smells,9.71590909090909
Cryptography,pqm4,360,code errors,0.0
Cryptography,pqm4,360,code smells,0.0
Cryptography,pqm4,450,code errors,0.0
Cryptography,pqm4,450,code smells,0.0
Cryptography,pqm4,540,code errors,0.0
Cryptography,pqm4,540,code smells,0.0
Cryptography,pqm4,630,code errors,0.0
Cryptography,pqm4,630,code smells,0.0
Cryptography,pqm4,720,code errors,0.0
Cryptography,pqm4,720,code smells,0.0
Cryptography,QRL,0,code errors,0.0
Cryptography,QRL,0,code smells,0.0
Cryptography,QRL,90,code errors,0.6029246843805866
Cryptography,QRL,90,code smells,7.367006806497819
Cryptography,QRL,180,code errors,0.02608242044861763
Cryptography,QRL,180,code smells,0.6823813249869588
Cryptography,QRL,270,code errors,0.10616735836309237
Cryptography,QRL,270,code smells,0.6579159025834057
Cryptography,QRL,360,code errors,0.019484673995230618
Cryptography,QRL,360,code smells,0.6854533821904263
Cryptography,QRL,450,code errors,0.10784099595937535
Cryptography,QRL,450,code smells,0.3259801244949219
Cryptography,QRL,540,code errors,0.11247452338815872
Cryptography,QRL,540,code smells,0.6589950262943796
Cryptography,QRL,630,code errors,0.10702346499490938
Cryptography,QRL,630,code smells,0.9098197035409936
Cryptography,QRL,720,code errors,0.10578614558075405
Cryptography,QRL,720,code smells,1.0771169115199923
Cryptography,QRL,810,code errors,0.10566139283085471
Cryptography,QRL,810,code smells,1.0967415134510516
Cryptography,QRL,900,code errors,0.1056204310262983
Cryptography,QRL,900,code smells,1.1150669324978637
Cryptography,QRL,990,code errors,0.10561792419243823
Cryptography,QRL,990,code smells,1.1150404670923029
Cryptography,QRL,1080,code errors,0.10250518158060737
Cryptography,QRL,1080,code smells,1.2233035955663694
Cryptography,QRL,1170,code errors,0.10015379421583705
Cryptography,QRL,1170,code smells,1.2380809482726283
Cryptography,codecrypt,0,code errors,0.0
Cryptography,codecrypt,0,code smells,0.0
Cryptography,codecrypt,90,code errors,0.0
Cryptography,codecrypt,90,code smells,0.0
Cryptography,codecrypt,180,code errors,0.0
Cryptography,codecrypt,180,code smells,0.0
Cryptography,codecrypt,270,code errors,0.0
Cryptography,codecrypt,270,code smells,0.0
Cryptography,codecrypt,360,code errors,0.0
Cryptography,codecrypt,360,code smells,0.0
Cryptography,codecrypt,450,code errors,0.0
Cryptography,codecrypt,450,code smells,0.0
Cryptography,codecrypt,540,code errors,0.0
Cryptography,codecrypt,540,code smells,0.0
Cryptography,codecrypt,630,code errors,0.0
Cryptography,codecrypt,630,code smells,0.0
Cryptography,codecrypt,720,code errors,0.0
Cryptography,codecrypt,720,code smells,0.0
Cryptography,codecrypt,810,code errors,0.0
Cryptography,codecrypt,810,code smells,0.0
Cryptography,codecrypt,900,code errors,0.0
Cryptography,codecrypt,900,code smells,0.0
Cryptography,codecrypt,990,code errors,0.0
Cryptography,codecrypt,990,code smells,0.0
Cryptography,codecrypt,1080,code errors,0.0
Cryptography,codecrypt,1080,code smells,0.0
Cryptography,codecrypt,1170,code errors,0.0
Cryptography,codecrypt,1170,code smells,0.0
Cryptography,codecrypt,1260,code errors,0.0
Cryptography,codecrypt,1260,code smells,0.0
Cryptography,codecrypt,1350,code errors,0.0
Cryptography,codecrypt,1350,code smells,0.0
Cryptography,codecrypt,1440,code errors,0.0
Cryptography,codecrypt,1440,code smells,0.0
Cryptography,codecrypt,1530,code errors,0.0
Cryptography,codecrypt,1530,code smells,0.0
Cryptography,codecrypt,1620,code errors,0.0
Cryptography,codecrypt,1620,code smells,0.0
Cryptography,quantum,0,code errors,0.0
Cryptography,quantum,0,code smells,0.0
Cryptography,quantum,90,code errors,0.0
Cryptography,quantum,90,code smells,0.0
Cryptography,quantum,180,code errors,0.0
Cryptography,quantum,180,code smells,0.0
Cryptography,quantum,270,code errors,0.0
Cryptography,quantum,270,code smells,0.0
Cryptography,quantum,360,code errors,0.0
Cryptography,quantum,360,code smells,0.0
Cryptography,quantum,450,code errors,0.0
Cryptography,quantum,450,code smells,0.0
Cryptography,quantum,540,code errors,0.0
Cryptography,quantum,540,code smells,0.0
Cryptography,quantum,630,code errors,0.0
Cryptography,quantum,630,code smells,0.0
Cryptography,quantum,720,code errors,0.0
Cryptography,quantum,720,code smells,0.0
Cryptography,quantum,810,code errors,0.0
Cryptography,quantum,810,code smells,0.0
Cryptography,quantum,900,code errors,0.0
Cryptography,quantum,900,code smells,0.0
